journey_id,trip_id,journey_start_datetime,journey_start_lat,journey_start_lon,journey_start_insee,journey_start_postcode,journey_start_town,journey_start_country,journey_end_datetime,journey_end_lat,journey_end_lon,journey_end_insee,journey_end_postcode,journey_end_town,journey_end_country,journey_distance,journey_duration
1525091,eed9e5e4-e66b-4d72-b894-40bd90b0299f,2019-12-01T10:30:00.000Z,45.778999999999996,4.803,69123,69001,Lyon,France,2019-12-01T10:45:00.000Z,45.8,4.77,69116,69760,Limonest,France,6430,463
1525096,cc185162-6933-4afd-8ca2-7c56d26a28af,2019-12-01T11:15:00.000Z,45.763000000000005,4.8660000000000005,69123,69001,Lyon,France,2019-12-01T11:30:00.000Z,45.705,4.831,69152,69310,Pierre-Bénite,France,12402,893
1525376,91d67c41-2f48-484e-8216-613eacaeb78e,2019-12-01T13:45:00.000Z,45.705,4.831,69152,69310,Pierre-Bénite,France,2019-12-01T14:00:00.000Z,45.763000000000005,4.8660000000000005,69123,69001,Lyon,France,11472,826
1527138,789792d6-4762-47a8-83ae-79c0a3d620bc,2019-12-01T20:00:00.000Z,46.02,4.7,69013,69400,Arnas,France,2019-12-01T20:30:00.000Z,45.778,4.862,69266,69100,Villeurbanne,France,29444,2120
1527194,264f716b-9157-4886-bcaf-9a5c9dd64266,2019-12-01T20:45:00.000Z,45.97,4.33,69006,69550,Amplepuis,France,2019-12-01T21:00:00.000Z,45.89,4.43,69243,69170,Tarare,France,14416,1038
1531402,d00d3fb4-3bfd-4bf7-8e7e-03288e5d7b08,2019-12-02T05:15:00.000Z,45.98,4.73,69264,69400,Villefranche-sur-Saône,France,2019-12-02T06:00:00.000Z,45.74,4.93,69271,69680,Chassieu,France,29055,2092
1531693,bc66c8ff-faad-403f-a218-f02170cf06f9,2019-12-02T05:30:00.000Z,45.89,4.44,69243,69170,Tarare,France,2019-12-02T06:00:00.000Z,45.8,4.75,69072,69570,Dardilly,France,22291,1605
1532202,a9f5f77e-ff47-4749-be89-83dea708b27f,2019-12-02T05:45:00.000Z,45.717,4.891,69259,69200,Vénissieux,France,2019-12-02T06:00:00.000Z,45.785,4.91,69256,69120,Vaulx-en-Velin,France,9680,697
1532280,7a78017b-4ebc-4cfc-879b-c02e5b14a326,2019-12-02T05:45:00.000Z,45.669,4.856,69276,69320,Feyzin,France,2019-12-02T06:15:00.000Z,45.782,4.766,69081,69130,Écully,France,19888,1432
1532334,95f423a6-b939-4909-aa1a-b21249a8b1dc,2019-12-02T05:45:00.000Z,45.99,4.71,69264,69400,Villefranche-sur-Saône,France,2019-12-02T06:15:00.000Z,45.768,4.7860000000000005,69244,69160,Tassin-la-Demi-Lune,France,21138,1522
1532194,b2918e89-d1c8-4342-85c4-1d62895192e6,2019-12-02T05:45:00.000Z,45.97,4.73,69264,69400,Villefranche-sur-Saône,France,2019-12-02T06:30:00.000Z,45.72,4.97,69271,69680,Chassieu,France,27180,1957
1531695,f4c00798-6fe1-477b-8c89-d26741c238f1,2019-12-02T06:00:00.000Z,45.748000000000005,4.82,69123,69001,Lyon,France,2019-12-02T06:15:00.000Z,45.77,4.7,69127,69280,Marcy-l'Étoile,France,14249,1026
1531739,849854ff-a40f-4eca-babb-ec0134e54361,2019-12-02T06:00:00.000Z,45.766000000000005,4.879,69266,69100,Villeurbanne,France,2019-12-02T06:15:00.000Z,45.69,4.96,69290,69800,Saint-Priest,France,14152,1019
1531995,4299d823-632d-488c-b430-a2e7d38f5a91,2019-12-02T06:00:00.000Z,45.781000000000006,4.886,69266,69100,Villeurbanne,France,2019-12-02T06:15:00.000Z,45.7,4.9,69290,69800,Saint-Priest,France,10527,758
1532436,5c91213a-42b5-4a0a-bd3e-65f1fb359102,2019-12-02T06:00:00.000Z,45.785,4.93,69256,69120,Vaulx-en-Velin,France,2019-12-02T06:30:00.000Z,45.751999999999995,4.8260000000000005,69123,69001,Lyon,France,15805,1138
1531850,8217985c-200c-42ea-8157-568137815848,2019-12-02T06:00:00.000Z,45.82,4.9,69286,69140,Rillieux-la-Pape,France,2019-12-02T06:15:00.000Z,45.726000000000006,4.838,69123,69001,Lyon,France,18111,1304
1532156,110cbffa-ccec-4b34-b41c-06a6e453ef8e,2019-12-02T06:00:00.000Z,45.763999999999996,4.785,69244,69160,Tassin-la-Demi-Lune,France,2019-12-02T06:15:00.000Z,45.79,4.859,69034,69300,Caluire-et-Cuire,France,9541,687
1531657,9ec21700-a588-4565-be1e-69934caca04f,2019-12-02T06:00:00.000Z,45.739,4.914,69029,69500,Bron,France,2019-12-02T06:15:00.000Z,45.65,4.75,69268,69390,Vourles,France,17069,1229
1513909,88c67726-0d95-4333-996d-a2ae2bcfc2b9,2019-12-02T06:00:00.000Z,45.83,4.88,69293,69580,Sathonay-Village,France,2019-12-02T06:30:00.000Z,45.778999999999996,4.805,69123,69001,Lyon,France,11962,1555
1532579,d29bc4be-e918-45d0-861d-375cd09f7926,2019-12-02T06:15:00.000Z,45.75,4.832,69123,69001,Lyon,France,2019-12-02T06:30:00.000Z,45.67,4.76,69027,69530,Brignais,France,11388,820
1531927,d87db04d-1dce-4af7-aa64-e9df15f44f9a,2019-12-02T06:15:00.000Z,45.778,4.803999999999999,69123,69001,Lyon,France,2019-12-02T06:15:00.000Z,45.785,4.765,69081,69130,Écully,France,6513,469
